College,State,NAAC,Students,Course,Placement%,AvgSalaryLPA,Recruiters
"Bobal, Barad and Batra College",KA,C,1622,MBA,36.5,12.15,Deloitte
Chhabra-Aurora College,Delhi,B,1583,B.Tech,37.54,9.11,Infosys
Buch and Sons College,TN,C,1794,B.Tech,79.19,4.19,Infosys
Iyengar Inc College,TN,B,1229,B.Sc,54.12,19.26,Infosys
Golla Group College,TN,A,1996,MCA,63.16,7.76,Infosys
Sarraf Group College,KA,B,3585,B.Tech,99.25,13.07,Wipro
Prabhu PLC College,UP,B,4983,MBA,65.8,6.5,EY
"Mann, Konda and Raju College",Delhi,C,3434,B.Tech,62.75,12.28,TCS
Krishna Inc College,Delhi,C,1321,MBA,41.59,11.32,EY
Dhar LLC College,WB,A,4162,MBA,53.66,5.39,TCS
Sangha and Sons College,WB,C,847,MCA,56.56,18.14,EY
"Buch, Kala and Panchal College",Delhi,A,4740,B.Sc,78.48,6.96,TCS
Lanka Ltd College,Delhi,C,1140,MBA,33.84,11.53,Accenture
Khosla-Seth College,Delhi,C,1274,MCA,47.08,19.7,TCS
Khatri-Ranganathan College,UP,B,995,B.Tech,62.69,10.7,Wipro
"Luthra, Seshadri and Biswas College",TN,B,2345,MCA,64.6,12.44,TCS
Bassi-Pall College,TN,A,3701,MCA,66.78,15.87,Wipro
Bal Ltd College,Delhi,B,1731,B.Tech,55.48,8.18,EY
Raman Group College,KA,C,4625,MCA,90.58,19.38,Deloitte
Buch Ltd College,MH,B,4045,B.Sc,61.32,13.19,Deloitte
Balasubramanian Ltd College,TN,C,3342,MBA,66.13,6.14,TCS
"Mitra, Parsa and Banerjee College",TN,A,1282,B.Tech,81,17.72,EY
"Buch, Shanker and Uppal College",UP,A,3149,MBA,34.71,3.97,Deloitte
Chaudry-Zachariah College,MH,C,4182,B.Tech,49.15,12.79,TCS
Saxena-Manda College,Delhi,C,4540,MBA,43.42,8.63,Accenture
Narasimhan-Sawhney College,TN,A,3325,B.Tech,90.28,11.88,Deloitte
"Walia, Kaul and Bains College",MH,A,4511,B.Tech,54.38,12.11,Infosys
Vyas-Mohanty College,UP,A,1784,MCA,61.22,5.3,TCS
Pingle-Dey College,Delhi,B,3042,MCA,65.06,9.97,Deloitte
"Bawa, Yadav and Char College",UP,C,2738,B.Tech,44.33,10.9,Deloitte
Jha-Shah College,UP,B,1791,B.Sc,48.59,8.02,Infosys
Goyal-Kuruvilla College,MH,C,2570,MCA,80.37,6.74,TCS
Master-Kari College,MH,A,4909,B.Sc,44.25,7.53,Infosys
Sani-Tank College,KA,A,1899,B.Tech,50.27,18.2,TCS
Seth-Peri College,UP,A,3121,B.Sc,58.67,14.3,EY
"Bera, Batra and Kar College",TN,A,4553,MCA,31.49,7.81,Accenture
Barman and Sons College,MH,B,1028,MBA,32.17,8.74,Wipro
Chadha Ltd College,Delhi,B,2454,MCA,79.74,9.63,EY
Tara-Dass College,Delhi,B,3819,MBA,81.94,6.37,Accenture
"Rajagopalan, Ratta and Behl College",KA,B,4448,MCA,91.09,13.96,Accenture
Bhandari Group College,KA,A,2078,B.Tech,46.15,8.7,Wipro
"Sarin, Bassi and Mitra College",WB,A,3907,MBA,64.53,9.15,Infosys
Lanka Inc College,TN,A,862,MCA,36.73,6.16,EY
Badal-Mukhopadhyay College,WB,A,580,B.Tech,47.39,15.88,Accenture
Krishna-Sane College,UP,B,3425,B.Tech,46.64,12.35,Infosys
"Bath, Keer and Mukhopadhyay College",UP,B,3486,MBA,44.94,4.17,Accenture
"Minhas, Prabhu and Dixit College",TN,C,2598,B.Tech,36.63,19.57,Deloitte
Contractor-Parmar College,UP,B,1044,MCA,89.64,17.63,EY
Pradhan-D’Alia College,WB,C,3356,MBA,69.31,3.11,EY
Ram Group College,TN,C,2940,B.Sc,35.39,11.55,TCS
Dubey Ltd College,KA,C,4084,MCA,95.75,8.04,Infosys
"Kanda, Anne and Mutti College",MH,C,3117,B.Sc,63.13,17.4,TCS
Rege Inc College,Delhi,A,4953,B.Tech,78.85,7.64,Wipro
Sastry-Walla College,KA,B,2618,MBA,90.17,6.39,EY
Narain-Kapur College,UP,B,4965,B.Tech,48.33,19.72,Infosys
Chaudhary Group College,WB,C,2186,B.Tech,50.6,7.43,Deloitte
Mann and Sons College,TN,A,3362,MBA,74.99,3.04,Deloitte
Jha and Sons College,Delhi,C,1801,MBA,99.32,17.26,TCS
"Upadhyay, Buch and Jain College",WB,A,4408,B.Tech,36.22,14.78,TCS
"Loke, Dada and Raval College",TN,A,1979,B.Sc,65.71,14.82,Deloitte
Acharya and Sons College,TN,B,2078,B.Sc,74.85,9.48,Wipro
"Ghose, Kumer and Keer College",MH,C,4235,MCA,48.07,3,Accenture
"Thakkar, Reddy and Deol College",WB,A,4718,MCA,66.71,19.88,Wipro
"Choudhury, Narain and Contractor College",TN,C,3555,B.Tech,31.09,7,EY
Dhillon LLC College,TN,A,1584,MCA,96.61,8.01,Accenture
"Nayak, Chana and Tak College",MH,B,2990,MBA,38.21,4.74,TCS
"Rastogi, Sheth and Sastry College",MH,A,1958,B.Tech,50.96,12.41,Deloitte
"Sha, Shankar and Nagar College",WB,C,1082,MBA,80.96,11.57,Deloitte
"Warrior, Bhatia and Gara College",Delhi,A,2331,B.Sc,47.81,11.9,Deloitte
"Dora, Randhawa and Mallick College",KA,A,3150,MBA,98.75,8.38,Accenture
"Sura, Rana and Prasad College",MH,C,4679,MCA,50.27,19.49,Wipro
Chakrabarti Ltd College,WB,B,2643,B.Tech,41.61,15.31,EY
Ranganathan-Guha College,MH,A,3109,B.Sc,68.5,16.82,TCS
Bajaj LLC College,MH,C,4669,MCA,89.74,12.69,Infosys
Dugal LLC College,KA,A,3284,MBA,97.56,5.59,Accenture
"Gaba, Nagarajan and Varughese College",KA,A,3063,B.Sc,50.57,13.1,TCS
Nair-Patla College,MH,C,1689,B.Sc,62.54,12.63,Wipro
Shah-Saraf College,Delhi,B,3627,B.Tech,30.73,17.04,Deloitte
"Oza, Keer and Sane College",Delhi,C,4801,B.Tech,35.44,9.3,Deloitte
"Mishra, Khare and Khosla College",TN,B,1681,B.Sc,85.65,3.45,Wipro
"Thakkar, Gupta and Bhasin College",UP,C,797,MCA,34.3,14.7,Accenture
Goel-Aggarwal College,MH,A,4582,B.Tech,74.18,16.88,TCS
Uppal Inc College,KA,A,4773,MCA,97.02,18.72,Infosys
Gokhale LLC College,KA,B,1160,MBA,41.65,8.22,Infosys
Gola Group College,KA,A,641,MCA,77.03,15.65,EY
"Radhakrishnan, Sahni and Thakkar College",Delhi,C,2149,MCA,43.53,4.23,Accenture
Badami LLC College,Delhi,B,613,MCA,68.96,11.56,Infosys
"Soni, Mangal and Kannan College",Delhi,C,2524,B.Sc,60.1,10.08,Infosys
Mutti Ltd College,UP,A,1023,MCA,36.58,8.2,Accenture
Sood Ltd College,MH,B,2296,B.Sc,87.75,5.08,Infosys
"Mallick, Tak and Apte College",UP,A,846,B.Tech,87.07,7.8,Infosys
Shenoy-Parikh College,MH,B,1615,B.Sc,58.43,4.11,Infosys
"Pau, Devi and Sura College",TN,C,3293,MCA,38.86,11.31,EY
Oza-Kuruvilla College,MH,B,2752,MBA,43.12,19.01,EY
Nagy Inc College,KA,B,1730,B.Sc,56.6,6.53,Deloitte
Raghavan Group College,KA,A,3331,B.Tech,61.97,7.18,Infosys
Kant-Kata College,Delhi,C,3291,B.Tech,93.94,16.21,TCS
Mistry PLC College,MH,A,1378,B.Tech,46.97,4.1,EY
Choudhary PLC College,TN,B,4938,MBA,58.71,17.21,EY
Balasubramanian-Gupta College,TN,A,3281,MBA,54.27,16.92,Accenture
"Kapoor, Chad and Bajwa College",UP,A,1386,MBA,37.47,5.74,TCS
Ramanathan Ltd College,Delhi,C,1646,MBA,35.69,10.75,Wipro
Zacharia-Karpe College,WB,C,4801,MCA,60.13,7.7,Deloitte
"Bakshi, Prasad and Buch College",TN,C,2289,MCA,63.83,4.49,EY
Chauhan and Sons College,UP,A,1213,MCA,73.05,5.46,Infosys
Baral-Sethi College,MH,A,3917,MBA,87.9,10.71,Infosys
"Hans, Swaminathan and Doctor College",UP,A,2966,B.Tech,46.72,6.55,EY
Lad Inc College,MH,B,2532,MCA,64.31,10.15,Wipro
"Tandon, Kala and Edwin College",MH,C,2233,B.Sc,34.97,15.06,Wipro
Kohli Group College,MH,A,4972,B.Tech,88.9,14.09,Wipro
"Karan, Sengupta and Puri College",UP,C,2689,B.Tech,36.36,10.9,Wipro
"Deol, Sekhon and Bhavsar College",WB,A,973,MCA,83.75,17.38,EY
Mall-Dugar College,KA,A,1958,B.Tech,99.78,8.53,Deloitte
"Samra, Dutt and Padmanabhan College",MH,C,2633,B.Sc,59.04,10.16,TCS
Bhatnagar LLC College,MH,C,723,B.Sc,43.63,19.05,Accenture
"Koshy, Bahl and Deshpande College",UP,B,4840,B.Tech,95.67,8.78,TCS
Murthy PLC College,Delhi,B,2057,B.Sc,98.25,7.99,Wipro
Shere-Purohit College,WB,A,1481,B.Sc,97.42,12.56,Deloitte
Ramachandran-Master College,UP,B,2705,B.Sc,65.51,12.1,TCS
"Karan, Dani and Konda College",MH,C,761,MBA,52.16,6.84,Accenture
"Gour, Varghese and Sarkar College",Delhi,A,1576,B.Tech,79.84,4.26,Infosys
Raja-Sood College,MH,C,2979,MBA,62.03,4.51,Deloitte
Thakur-Vala College,TN,A,1951,MCA,92.88,7.77,Wipro
Nanda-Das College,KA,C,4504,B.Sc,61.47,12.76,EY
Tella Group College,MH,C,1715,MBA,53.54,5.73,Accenture
Rege-Pau College,KA,A,1245,B.Sc,83.44,6.45,Deloitte
Karnik LLC College,Delhi,C,1269,B.Tech,86.11,14.18,Deloitte
Deol-Mann College,KA,A,2464,B.Sc,74.07,15.47,TCS
Mane-Bobal College,UP,C,4356,MCA,58.89,12.88,Accenture
Lad-Bala College,Delhi,A,1842,B.Tech,86.68,13.35,Wipro
"Gara, Memon and Narasimhan College",TN,C,3416,MCA,72.04,17.09,Wipro
"Nagar, Korpal and Raval College",Delhi,B,1703,B.Sc,65.51,16.13,Accenture
Sankaran-Devan College,TN,B,3740,MCA,58.58,10.8,TCS
Varughese Group College,Delhi,A,3446,B.Tech,95.56,9.71,Accenture
Dara-Kapadia College,WB,C,3273,B.Sc,56.68,12.62,EY
Ramaswamy LLC College,TN,B,2767,B.Sc,65.78,3.06,EY
Sabharwal Group College,KA,A,2507,MBA,66.43,8.44,Infosys
Rao and Sons College,UP,B,949,MCA,42.32,4.16,TCS
Srivastava-Manne College,UP,C,3290,B.Sc,49.36,17.27,Infosys
Rege-Dar College,MH,A,1132,MCA,84.17,13.97,EY
Devan-Kale College,KA,C,2009,B.Sc,41.13,3.39,Deloitte
Pillay Ltd College,WB,C,4259,MBA,64.7,17.42,Wipro
Talwar-Gulati College,MH,C,1661,B.Sc,57.68,15.26,Wipro
Thaker-Nagar College,WB,A,4588,MCA,58.59,3.33,EY
"Kanda, Gokhale and Venkatesh College",KA,A,4135,MCA,46.63,14.18,Wipro
Bose and Sons College,MH,A,1570,B.Tech,42.13,16.11,Accenture
Dave Group College,KA,C,1733,MBA,92.7,14.14,Deloitte
"Divan, Chaudhry and Tandon College",MH,A,3428,MBA,58.75,15.37,Accenture
Nori-Gade College,Delhi,C,1974,B.Tech,88.8,18.35,Infosys
"Agate, Rau and Tella College",Delhi,B,956,MBA,96.72,13.06,Wipro
"Parsa, Nadig and Dutt College",KA,C,3438,MCA,54.72,18.93,Deloitte
Menon-Bera College,MH,C,2844,MCA,96.03,7.65,Wipro
"Ben, Balakrishnan and Bava College",KA,B,2317,MCA,51.38,15.73,Deloitte
Dua-Kumer College,MH,B,1221,MCA,57.6,12.1,Accenture
"Joshi, Naik and Kalla College",UP,C,4354,MBA,84.11,17.61,Deloitte
Jayaraman Ltd College,MH,B,2007,B.Tech,60.91,5.19,Wipro
Varkey-Gupta College,KA,A,2067,MBA,39.45,12.11,EY
"Manne, Mohanty and Srivastava College",TN,C,1817,MBA,57.26,10.53,Infosys
Ramaswamy-Dave College,TN,C,638,MCA,39.21,15.21,Deloitte
Jain-Walia College,UP,A,1303,B.Tech,48.87,11.02,Wipro
Prakash-More College,TN,C,4762,MCA,80.77,6.8,Infosys
Anne Ltd College,TN,C,3888,B.Tech,42.64,16.82,Infosys
Bhasin Inc College,MH,C,3821,MBA,37.15,18.02,Wipro
"Dhingra, Parmar and Doctor College",MH,B,3210,B.Tech,96.65,15.76,Wipro
Issac-Dugal College,Delhi,B,1345,MCA,30.73,11.15,TCS
Lall-Ramachandran College,MH,A,941,B.Tech,77.35,11.84,EY
Jani Inc College,WB,B,4686,B.Sc,36.52,3.17,Accenture
Swamy PLC College,WB,A,4811,MCA,90.77,9.48,Deloitte
"Mittal, Golla and Parsa College",WB,A,4225,MCA,54.69,12.94,Infosys
"Ravel, Narayanan and Sule College",MH,B,2406,B.Tech,93.53,16.07,EY
Tara Inc College,KA,B,4529,B.Sc,37.45,12.83,Wipro
Tata Inc College,KA,A,3032,B.Sc,97.2,15.16,Wipro
Chauhan-Sur College,UP,A,1412,B.Tech,36.69,16.92,TCS
Nayar LLC College,UP,A,1914,B.Tech,64.07,3.45,Deloitte
Vaidya PLC College,MH,C,4882,B.Sc,50.83,12.24,Deloitte
De-Atwal College,MH,B,4363,MBA,52.29,19.95,Wipro
Raja PLC College,KA,A,4106,B.Tech,34.82,15.54,TCS
"Kapadia, Kumar and Garg College",TN,A,4679,B.Sc,99.79,6.56,Accenture
Oza Ltd College,WB,A,3423,B.Tech,53.92,12.78,Infosys
Pillay-Kohli College,WB,B,2007,MBA,62.15,18.69,EY
"Sarna, Bhakta and Bath College",Delhi,B,3617,B.Sc,71.12,11.15,Infosys
Gour PLC College,UP,A,4473,MCA,89.18,9.65,Infosys
Rau Ltd College,MH,B,4102,B.Sc,80.12,6.46,Infosys
"Kumar, Hora and Rajan College",MH,B,531,MCA,84,9.24,Accenture
"Raghavan, Gala and Sant College",UP,B,4916,MBA,42.29,14.53,EY
Dara-Ganesh College,MH,A,2936,MCA,66.99,4.88,TCS
Trivedi Group College,WB,B,2900,MCA,33.99,12.23,Deloitte
Deshmukh-Arya College,UP,B,3895,B.Tech,90.65,3.36,EY
"Goel, Srinivas and Comar College",KA,A,1449,B.Sc,86.14,17.59,Infosys
Kunda-Magar College,UP,B,4369,B.Sc,84.92,6.83,Deloitte
Goda-Choudhary College,KA,B,2582,MBA,79.32,6.18,Infosys
Choudhary-Sidhu College,Delhi,A,2196,B.Tech,83.81,14.63,EY
Borah PLC College,WB,C,4457,B.Sc,93.45,5.92,TCS
Kunda LLC College,KA,B,1013,B.Tech,39.07,7.32,Accenture
Loke PLC College,Delhi,C,3200,B.Tech,90.94,12.51,TCS
Parekh-Mital College,Delhi,B,3831,MBA,31.85,10.13,EY
Gokhale PLC College,TN,A,4008,B.Sc,99.96,18.5,EY
Dora LLC College,UP,C,1551,B.Tech,38.26,6.26,TCS
Srivastava-Patla College,Delhi,C,4588,B.Sc,92.06,11.2,Infosys
"Chahal, Viswanathan and Sodhi College",UP,A,1973,MCA,50.54,14.67,TCS
Biswas-Dora College,UP,C,4173,MCA,46.65,16.73,TCS
Walia-Dhaliwal College,KA,C,3912,B.Tech,41.62,10.85,Accenture
Bakshi-Gade College,KA,B,742,MBA,66.04,13.82,Accenture
Rattan LLC College,KA,A,714,MBA,47.18,3.2,Deloitte
Chada-Hegde College,Delhi,C,3989,MCA,55.01,11.78,Infosys
Parikh LLC College,MH,C,3879,B.Tech,73.83,10.69,TCS
Bala LLC College,MH,B,559,MBA,93.56,12.71,Accenture
Ranganathan-Datta College,WB,C,1569,B.Sc,36.84,10.59,TCS
Ramachandran-Banik College,KA,B,3007,B.Tech,35.82,11.78,Deloitte
Choudhry Inc College,MH,B,3550,B.Sc,87.32,4.07,Wipro
Balasubramanian Inc College,KA,C,2734,MBA,36.89,8.42,TCS
Munshi and Sons College,WB,A,1254,MCA,74.36,15.26,Wipro
Dora-Saha College,MH,A,3532,MCA,46.79,19.85,TCS
Goyal PLC College,UP,A,3221,MBA,96.09,17.31,TCS
"Loke, Malhotra and Bal College",WB,C,4816,B.Sc,49.2,18.98,EY
Chatterjee-Nagy College,KA,C,3720,MBA,49.36,12.34,Deloitte
"Majumdar, Narula and Dhawan College",WB,C,1443,B.Sc,89.74,13.82,Deloitte
"Doshi, Palan and Bhatt College",KA,C,3326,MBA,99.11,16.33,Wipro
Mohan Ltd College,KA,C,4674,MBA,96.04,5.35,TCS
"Brar, Madan and Lala College",WB,B,2784,MCA,75.15,5.89,Deloitte
Kakar-Magar College,MH,B,2455,MCA,82.93,12.42,Infosys
Patel-Bawa College,TN,B,522,B.Sc,58.26,12.2,Wipro
"Kar, Ramanathan and Basu College",Delhi,B,1109,B.Sc,66.98,17.04,EY
Halder and Sons College,TN,A,3456,B.Sc,95.51,3.7,Infosys
"Zachariah, Dara and Singh College",MH,C,3540,B.Tech,86.42,13.33,Wipro
Misra Ltd College,TN,A,4189,MBA,76.68,4.94,EY
Deshmukh-Barad College,Delhi,A,928,MBA,58.22,12.84,EY
"Basu, Bajwa and Sawhney College",TN,A,796,B.Sc,82.94,16.86,Infosys
Karnik-Viswanathan College,MH,C,855,B.Sc,37.77,7.66,TCS
Wadhwa Ltd College,TN,B,2874,B.Sc,78.02,6.6,TCS
Tak PLC College,Delhi,C,2605,B.Tech,99.79,17.4,Infosys
"Majumdar, Keer and Bali College",UP,A,2844,B.Tech,56.7,12.68,EY
Tiwari Inc College,MH,C,3485,B.Sc,77.01,5.29,Accenture
Kapoor LLC College,MH,A,3072,MBA,40.64,7.84,Wipro
Sarkar PLC College,WB,C,4847,MCA,35.49,16.28,EY
Chawla Inc College,Delhi,A,3426,MBA,79.98,9.61,EY
"Loke, Ram and Nair College",KA,B,2514,MCA,87.71,15.52,Infosys
"Bedi, Mani and Mander College",MH,C,2305,B.Sc,88.03,11.63,Deloitte
"Dass, Krishna and Sethi College",UP,C,970,B.Tech,91.11,10.97,Infosys
"Dugar, Chaudry and Bala College",WB,B,1731,MBA,41.5,15.19,Accenture
Sura-Bahl College,TN,C,3862,MBA,83.82,12.09,Deloitte
Kara and Sons College,UP,A,4742,MBA,93.69,5.73,Accenture
Dani-Nagarajan College,MH,B,525,MCA,99.43,6.55,EY
Subramanian-Konda College,MH,A,3254,B.Tech,68.69,5.64,Accenture
"Ratta, Zachariah and Thakkar College",MH,C,4456,B.Sc,84.83,9.09,EY
Khanna-Wadhwa College,Delhi,C,1442,B.Tech,51.62,5.15,Accenture
Choudhary Group College,MH,C,1771,B.Sc,39.02,13.14,Deloitte
Rastogi-Solanki College,Delhi,B,2338,MCA,53.54,8.89,Infosys
Chandran-Thaker College,Delhi,A,3780,MCA,55.29,16.52,Wipro
Ratti-Narayanan College,MH,B,2870,B.Tech,64.58,8.51,TCS
"Joshi, Parekh and Yadav College",TN,B,1583,MCA,55.14,10.64,TCS
Dhawan-Kalita College,WB,A,3169,B.Sc,50.13,12.55,Deloitte
"Dewan, Mann and Bhatnagar College",UP,A,1232,MBA,32.68,3.05,Wipro
Sood Group College,TN,C,1494,B.Sc,54.12,11.66,EY
Bumb-Grewal College,TN,C,601,MCA,31.92,14.75,Accenture
Ray-Shroff College,Delhi,B,1749,B.Sc,85.8,4.94,Infosys
"Guha, Dass and Venkataraman College",TN,A,2726,MCA,68.76,18.63,Deloitte
Sinha-Jha College,TN,B,2568,B.Sc,76.22,15.21,Wipro
Sahota LLC College,TN,A,4601,MCA,51.84,8.74,EY
Nagy PLC College,TN,A,932,MCA,91.73,13.36,Wipro
Lal PLC College,MH,B,4036,B.Sc,88,7.64,TCS
Dar-Kant College,TN,B,1959,MBA,80.13,19.46,Infosys
Bali Group College,Delhi,C,764,B.Sc,78.35,19.71,Deloitte
Saraf-Thakkar College,UP,B,2090,B.Tech,57.85,6.39,Wipro
Ramesh Ltd College,WB,A,4959,B.Sc,31.94,5.4,Infosys
"Pai, Bora and Narayan College",WB,C,2060,MCA,60.8,6.04,Deloitte
Viswanathan-Rajagopalan College,UP,A,3774,MCA,84.29,8.13,Infosys
Sandhu-Soman College,MH,B,1344,MBA,32.48,7,Accenture
Sahni Inc College,Delhi,A,1270,B.Tech,38.95,19.2,EY
Jha-Das College,MH,A,1442,B.Tech,59,3.37,Wipro
"Salvi, Bhat and Grewal College",KA,B,1177,MBA,54.48,19.7,Accenture
Bawa-Kalita College,UP,C,503,MCA,77.11,14.94,Deloitte
Singhal and Sons College,WB,A,588,B.Sc,32.85,16.57,Accenture
Venkataraman LLC College,UP,B,3877,MCA,74.56,3.29,Wipro
Venkataraman LLC College,KA,A,637,B.Tech,48.85,19.77,Wipro
"Bhalla, Dasgupta and Bhat College",Delhi,A,2584,B.Sc,55.37,18.1,Infosys
Andra Group College,UP,A,2638,MCA,31.42,16.63,Deloitte
"Maharaj, Goyal and Andra College",WB,A,3309,MCA,58.79,15.67,Infosys
"Hegde, Gola and Bora College",MH,A,1655,MCA,47.07,6.48,Infosys
"Patil, Basu and Devi College",UP,B,1114,B.Sc,38.35,14.09,EY
"Venkatesh, Mani and Sunder College",TN,A,714,MBA,92.28,6.49,Deloitte
Bhardwaj-Bala College,TN,B,2120,MCA,71.69,13.8,Accenture
"Mall, Brar and Mand College",TN,A,2103,B.Sc,99.33,12.96,Deloitte
Mody-Kant College,MH,C,3371,B.Tech,47.16,7.75,Accenture
Khalsa-Vala College,UP,C,2707,B.Sc,49.5,11.76,TCS
Sankaran-Ramaswamy College,KA,C,943,B.Sc,34.91,15.92,Infosys
"Kari, Naidu and Sani College",KA,A,2576,B.Tech,67.55,17.72,Deloitte
Krishnan PLC College,MH,C,2750,MBA,91.59,8.11,TCS
Shankar Inc College,WB,C,3253,MBA,99.66,10.43,Accenture
"Acharya, Atwal and Madan College",KA,A,2599,MCA,54.62,19.68,Accenture
Acharya Inc College,TN,A,842,B.Tech,93.45,10.28,Wipro
"Sidhu, Toor and Rao College",Delhi,A,3570,MBA,96.36,14.18,EY
Dasgupta Ltd College,TN,C,4810,MCA,30.06,15.9,Wipro
"Bajaj, Pillai and Bala College",UP,B,3581,MBA,67.19,14.49,Accenture
Nadkarni Inc College,UP,B,589,B.Tech,59.23,18.57,Accenture
Nigam Inc College,KA,A,2186,B.Sc,75.02,10.35,Accenture
Bandi-Boase College,KA,A,3174,MCA,68.62,10.12,Accenture
Thaman-Madan College,KA,B,748,B.Tech,74.36,6.7,Accenture
"Prashad, Prabhakar and Tiwari College",Delhi,C,4565,MBA,74.84,15.39,Infosys
Sachdeva-Bail College,TN,C,4609,B.Tech,95.32,9.18,TCS
"Khanna, Sami and Borde College",TN,B,2231,B.Sc,91.41,9.09,Deloitte
Deshmukh Ltd College,Delhi,B,3797,MCA,45.51,4.7,EY
Agate-Sant College,UP,A,2963,B.Tech,87.81,9.3,Infosys
Varty PLC College,TN,C,4915,MCA,82.71,3.94,EY
Oak-Thakkar College,WB,C,4134,B.Tech,79.29,15.81,EY
Prashad-Patla College,TN,B,3378,B.Sc,89.42,13.92,Accenture
Lad Inc College,KA,A,4410,B.Sc,87.72,5.77,EY
Gulati Inc College,TN,C,2519,MBA,84.1,17.18,EY
Parmer Group College,MH,A,1368,B.Sc,45.48,16.49,Wipro
Misra PLC College,TN,B,2006,MCA,32.24,16.63,Accenture
Tak PLC College,WB,A,1295,MCA,56.59,4.07,EY
"Viswanathan, Tara and Rana College",KA,C,2620,B.Tech,70.23,18.7,Infosys
Rajagopalan Group College,WB,A,3870,MBA,34.85,8.63,Infosys
Johal LLC College,KA,C,963,B.Sc,39.4,12.11,Wipro
"Nanda, Bhargava and Agarwal College",KA,B,4528,B.Sc,57.28,13.81,Deloitte
Sastry-Hari College,KA,C,4653,MCA,46.85,15.21,Deloitte
Bir-Patla College,UP,A,2118,B.Tech,40.68,8.23,Wipro
Singh-Luthra College,KA,A,1767,B.Tech,90.76,8.13,Accenture
"Bajwa, Dhar and Mistry College",UP,B,3751,B.Tech,58.52,12.84,EY
"Uppal, Varma and Chatterjee College",MH,A,3876,MBA,35.15,14.93,Infosys
Misra-Ben College,KA,C,2622,MBA,77.42,7.39,Wipro
Bawa-Chahal College,TN,B,3517,B.Tech,97.29,12.59,Deloitte
"Sankaran, Sankaran and Jayaraman College",KA,A,1095,MCA,86.87,13.68,TCS
"Soman, Madan and Kashyap College",MH,C,4916,MCA,88.53,13.94,Wipro
"Sule, Nayak and Dugar College",Delhi,A,3627,MCA,44.44,4.84,Infosys
"Dugar, Sahni and Jhaveri College",UP,A,4604,B.Sc,45,17.02,Wipro
Bawa PLC College,Delhi,A,1534,MBA,42.77,14.02,Infosys
"Venkataraman, Rajagopal and Jha College",MH,B,3963,B.Tech,49.48,3.56,Accenture
Dua-Mittal College,KA,A,1024,MBA,95.43,9.6,Accenture
Kashyap Ltd College,UP,B,4302,B.Sc,78.88,6.48,EY
Gandhi LLC College,UP,C,3076,B.Sc,37.51,7.67,Infosys
"Basak, Das and Tata College",UP,B,2016,B.Tech,79.39,16.25,Wipro
Solanki-Mittal College,Delhi,C,2932,MBA,69.1,5.4,Infosys
Cheema PLC College,MH,C,3498,B.Sc,74.21,5.83,Infosys
"Chokshi, Rout and Iyengar College",Delhi,C,4223,MCA,42.01,4.93,TCS
Sane Ltd College,TN,A,1486,B.Tech,48.76,12.73,Infosys
"Buch, Prashad and Sibal College",Delhi,C,3286,B.Sc,34.59,19.79,Accenture
"Parsa, Nadkarni and Pandit College",TN,B,2965,MCA,74,5.11,EY
"Hari, Acharya and Hayer College",WB,A,2657,MBA,44.97,11.5,Wipro
Panchal LLC College,MH,A,503,B.Sc,91.93,12.07,Accenture
Goswami-Bhakta College,Delhi,B,1622,B.Tech,90.79,7.88,TCS
"Morar, Bal and Bose College",TN,A,936,MBA,35.6,11.72,EY
Samra-Shere College,MH,C,3033,MBA,39.21,11.81,Accenture
Yogi-Mane College,WB,A,2894,B.Tech,52.08,15.24,TCS
Jain Inc College,WB,B,1073,B.Sc,50.56,3.55,TCS
"Narang, Bhandari and Oza College",WB,C,4639,B.Sc,73.52,17.12,EY
"Oommen, Nadig and Seth College",KA,B,1145,MCA,75.25,7.33,EY
"Bakshi, Divan and Saini College",KA,A,4077,MCA,33.6,8.68,Accenture
"Subramaniam, Kala and Subramanian College",TN,B,2007,MBA,84.83,8.42,Infosys
Rana Inc College,WB,B,3969,B.Tech,39.67,14.32,Deloitte
Gole-Behl College,TN,C,935,MCA,72.88,9.12,Infosys
Sabharwal PLC College,TN,A,2107,B.Tech,77.68,19,Wipro
Sidhu-Shukla College,TN,A,3413,MBA,54.38,8.36,Infosys
"Apte, Sidhu and Dasgupta College",WB,B,4394,MCA,58.58,11.29,Wipro
"Som, Ghosh and Hayre College",Delhi,C,3549,B.Sc,49.81,15.18,Infosys
"Thaman, Wason and Aurora College",MH,C,4580,B.Sc,98.54,6.22,Wipro
Bal-Aggarwal College,Delhi,B,656,MCA,61.02,16.96,Infosys
Sathe-Deol College,Delhi,C,1165,B.Sc,79.07,14.43,EY
Dhingra-Thaman College,MH,B,1310,MBA,39.23,6.71,TCS
"Kanda, Madan and Shroff College",Delhi,A,3179,B.Tech,48.83,4.73,Wipro
Boase-Rajagopalan College,WB,C,4294,MCA,60.29,16.77,Infosys
"Deshmukh, Jhaveri and Mangat College",WB,A,4348,MBA,61.09,17.47,TCS
Sahni-Tella College,MH,C,1187,MBA,40.4,17.97,Accenture
Deshpande-Warrior College,MH,B,2249,B.Tech,47.97,12.65,EY
Rajan-Das College,UP,A,3808,B.Tech,80.72,14.09,Deloitte
"Kale, Zachariah and Sethi College",KA,A,599,B.Tech,38.55,16.89,Deloitte
Lal LLC College,TN,A,2577,MBA,54.96,14.81,Infosys
